time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-05-29 00:00:00,12.2,9.2,85.0,0.0,,290.0,14.4,20.4,1022.7,0.0,3.0
2025-05-29 01:00:00,11.7,9.1,87.0,0.0,,290.0,14.4,22.0,1022.8,0.0,4.0
2025-05-29 02:00:00,12.0,9.2,86.0,0.0,,300.0,10.8,18.0,1023.0,0.0,4.0
2025-05-29 03:00:00,10.5,9.3,94.0,0.0,,220.0,7.2,16.7,1023.4,0.0,3.0
2025-05-29 04:00:00,10.0,9.2,96.0,0.0,,240.0,7.2,11.0,1023.7,0.0,3.0
2025-05-29 05:00:00,10.2,9.6,97.0,0.0,,220.0,7.2,11.0,1024.1,6.0,4.0
2025-05-29 06:00:00,10.7,9.5,94.0,0.0,,230.0,10.8,18.5,1024.4,8.0,4.0
2025-05-29 07:00:00,12.6,9.6,85.0,0.0,,240.0,10.8,18.0,1024.4,8.0,3.0
2025-05-29 08:00:00,14.0,10.0,80.0,0.0,,230.0,14.4,22.0,1024.1,7.0,4.0
2025-05-29 09:00:00,15.0,10.0,75.0,0.0,,220.0,14.4,24.1,1024.2,6.0,7.0
2025-05-29 10:00:00,16.0,9.6,68.0,0.0,,220.0,18.0,25.0,1024.1,11.0,4.0
2025-05-29 11:00:00,18.2,11.0,64.0,0.0,,250.0,21.6,29.0,1023.6,8.0,4.0
2025-05-29 12:00:00,17.5,9.7,61.0,0.0,,240.0,18.0,27.8,1023.6,10.0,4.0
2025-05-29 13:00:00,17.7,9.5,59.0,0.0,,220.0,21.6,32.0,1023.4,10.0,4.0
2025-05-29 14:00:00,18.5,10.5,60.0,0.0,,230.0,21.6,32.0,1023.0,14.0,4.0
2025-05-29 15:00:00,18.5,10.3,59.0,0.0,,240.0,18.0,29.6,1022.6,15.0,4.0
2025-05-29 16:00:00,18.2,10.6,62.0,0.0,,240.0,21.6,32.0,1022.4,12.0,4.0
2025-05-29 17:00:00,18.5,10.5,60.0,0.0,,260.0,21.6,32.0,1022.3,12.0,4.0
2025-05-29 18:00:00,18.2,11.0,64.0,0.0,,230.0,14.4,27.8,1022.2,9.0,4.0
2025-05-29 19:00:00,17.7,11.1,67.0,0.0,,230.0,14.4,25.0,1022.2,7.0,4.0
2025-05-29 20:00:00,16.7,11.1,72.0,0.0,,220.0,7.2,18.0,1022.4,4.0,3.0
2025-05-29 21:00:00,16.1,11.100000000000001,75.0,0.0,,220.0,7.2,18.5,1022.8,0.0,3.0
2025-05-29 22:00:00,15.1,11.3,81.0,0.0,,210.0,7.2,11.0,1023.0,0.0,4.0
2025-05-29 23:00:00,15.5,11.3,79.0,0.0,,210.0,7.2,14.0,1022.8,0.0,4.0
2025-05-30 00:00:00,15.6,11.399999999999999,79.0,0.0,,230.0,10.8,13.0,1022.8,0.0,4.0
2025-05-30 01:00:00,15.5,11.5,80.0,0.0,,210.0,7.2,14.0,1022.7,0.0,4.0
2025-05-30 02:00:00,15.0,11.4,82.0,0.0,,220.0,7.2,14.0,1022.5,0.0,4.0
2025-05-30 03:00:00,14.6,11.8,86.0,0.0,,250.0,7.2,13.0,1022.6,0.0,4.0
2025-05-30 04:00:00,13.6,11.6,90.0,0.0,,270.0,10.8,11.0,1022.8,0.0,3.0
2025-05-30 05:00:00,15.2,11.799999999999999,83.0,0.0,,280.0,10.8,22.0,1022.7,13.0,2.0
2025-05-30 06:00:00,15.7,12.299999999999999,83.0,0.0,,250.0,7.2,13.0,1022.6,22.0,2.0
2025-05-30 07:00:00,17.7,13.5,79.0,0.0,,240.0,7.2,14.0,1022.4,27.0,3.0
2025-05-30 08:00:00,18.2,13.399999999999999,76.0,0.0,,210.0,10.8,14.0,1022.4,27.0,3.0
2025-05-30 09:00:00,19.7,14.299999999999999,73.0,0.0,,220.0,14.4,22.2,1021.9,28.0,2.0
2025-05-30 10:00:00,21.1,13.900000000000002,64.0,0.0,,270.0,21.6,29.0,1021.4,34.0,2.0
2025-05-30 11:00:00,22.0,14.2,61.0,0.0,,250.0,14.4,29.0,1021.2,36.0,2.0
2025-05-30 12:00:00,23.2,14.799999999999999,58.0,0.0,,210.0,18.0,27.8,1020.3,36.0,1.0
2025-05-30 13:00:00,24.2,15.6,57.0,0.0,,230.0,14.4,25.0,1020.1,36.0,1.0
2025-05-30 14:00:00,25.2,16.0,54.0,0.0,,260.0,18.0,32.0,1019.6,38.0,1.0
2025-05-30 15:00:00,25.6,15.8,51.0,0.0,,250.0,18.0,27.8,1019.2,41.0,1.0
2025-05-30 16:00:00,25.6,15.8,51.0,0.0,,230.0,18.0,25.0,1018.8,49.0,1.0
2025-05-30 17:00:00,25.5,15.7,51.0,0.0,,220.0,14.4,25.0,1018.6,51.0,1.0
2025-05-30 18:00:00,24.7,15.299999999999999,53.0,0.0,,210.0,14.4,24.1,1018.5,43.0,1.0
2025-05-30 19:00:00,23.6,15.000000000000002,57.0,0.0,,230.0,10.8,22.0,1018.7,32.0,1.0
2025-05-30 20:00:00,21.2,14.2,65.0,0.0,,220.0,10.8,14.0,1019.1,16.0,1.0
2025-05-30 21:00:00,20.0,14.2,71.0,0.0,,250.0,10.8,16.7,1019.4,0.0,1.0
2025-05-30 22:00:00,19.7,14.1,72.0,0.0,,320.0,7.2,22.0,1019.4,0.0,1.0
2025-05-30 23:00:00,18.7,14.299999999999999,78.0,0.0,,350.0,7.2,14.0,1019.3,0.0,1.0
2025-05-31 00:00:00,18.7,14.299999999999999,78.0,0.0,,330.0,7.2,13.0,1019.3,0.0,1.0
2025-05-31 01:00:00,17.5,14.5,85.0,0.0,,120.0,7.2,11.0,1019.2,0.0,1.0
2025-05-31 02:00:00,17.2,14.2,85.0,0.0,,0.0,3.6,11.0,1019.1,0.0,1.0
2025-05-31 03:00:00,16.7,13.899999999999999,86.0,0.0,,160.0,3.6,9.3,1019.1,0.0,1.0
2025-05-31 04:00:00,16.5,13.7,86.0,0.0,,140.0,7.2,7.0,1018.9,8.0,2.0
2025-05-31 05:00:00,17.2,14.2,85.0,0.0,,170.0,3.6,7.0,1019.0,20.0,2.0
2025-05-31 06:00:00,19.5,15.3,79.0,0.0,,0.0,3.6,11.1,1018.8,33.0,2.0
2025-05-31 07:00:00,20.6,15.8,76.0,0.0,,180.0,7.2,11.0,1018.7,39.0,2.0
2025-05-31 08:00:00,22.7,15.7,65.0,0.0,,150.0,10.8,14.0,1018.4,42.0,2.0
2025-05-31 09:00:00,24.7,17.5,64.0,0.0,,200.0,14.4,16.7,1017.9,42.0,1.0
2025-05-31 10:00:00,25.6,16.8,56.0,0.0,,170.0,14.4,22.0,1017.7,41.0,2.0
2025-05-31 11:00:00,26.0,15.6,48.0,0.0,,180.0,14.4,22.0,1017.5,36.0,2.0
